"","term","step","estimate","lambda","dev.ratio"
"1","(Intercept)",1,3.02275128426863,0.003813685,0.422618752289787
"2","family_income>100,000",1,0.0695977896017173,0.003813685,0.422618752289787
"3","persons_living_household",1,0.033162325908132,0.003813685,0.422618752289787
"4","region(3) South",1,0.0489712396252956,0.003813685,0.422618752289787
"5","region(4) West",1,-0.21332556995145,0.003813685,0.422618752289787
"6","principal_city_balance_status(1) Principal city",1,-0.0226790811629509,0.003813685,0.422618752289787
"7","principal_city_balance_status(2) Balance",1,0.137978536913464,0.003813685,0.422618752289787
"8","metropolitan_area_size100,000-1,000,000",1,0.0912842737643162,0.003813685,0.422618752289787
"9","metropolitan_area_size1,000,000-4,999,999",1,-0.0777276748540409,0.003813685,0.422618752289787
"10","age",1,-0.0163662003894003,0.003813685,0.422618752289787
"11","marital_statusless than HS",1,0.45510856036941,0.003813685,0.422618752289787
"12","marital_statusHS or equivalent",1,0.159274926133576,0.003813685,0.422618752289787
"13","marital_statusBachelor's or more",1,-0.0895232340393683,0.003813685,0.422618752289787
"14","served_armed_forces(1) Yes",1,-0.162822704490317,0.003813685,0.422618752289787
"15","served_armed_forces(2) No",1,4.1476493084134e-13,0.003813685,0.422618752289787
"16","highest_education(39) High school grad-diploma or equiv (GED)",1,0.127392243675938,0.003813685,0.422618752289787
"17","highest_education(44) Master's degree (ex: MA, MS, MENG, MED, MSW)",1,-0.285410132072845,0.003813685,0.422618752289787
"18","highest_education(45) Professional school deg (ex: MD, DDS, DVM)",1,-0.623353358786199,0.003813685,0.422618752289787
"19","highest_education(46) Doctorate degree (ex: PHD, EDD)",1,-0.614520460453672,0.003813685,0.422618752289787
"20","racewhite",1,-0.502724684341528,0.003813685,0.422618752289787
"21","raceblack",1,0.33094315969722,0.003813685,0.422618752289787
"22","hispanic(1) Hispanic",1,0.283513962398269,0.003813685,0.422618752289787
"23","hispanic(2) Non-Hipsanic",1,-7.67439872191821e-13,0.003813685,0.422618752289787
"24","citizenshipus by birth",1,0.87130555641698,0.003813685,0.422618752289787
"25","citizenshipforeign by birth",1,-2.37267442471571e-05,0.003813685,0.422618752289787
"26","worked_last_weekno",1,-0.148076771166568,0.003813685,0.422618752289787
