"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",27.2435183513801,3897.05734034049,0.00699079227533248,0.994422200208042
"2","person_household_has_business_or_farm(2) No",0.0612558521873511,0.137881906255135,0.444263165857338,0.656852328644354
"3","region(2) Midwest (formerly North Central)",0.0925413595484468,0.136252210938668,0.679191617595864,0.497016457832592
"4","region(3) South",0.261211643211953,0.133017313250079,1.96374168767687,0.0495600555212652
"5","region(4) West",-0.11174100547302,0.133840027185319,-0.834884808550587,0.403782568943896
"6","principal_city_balance_status(2) Balance",0.47251074672137,0.121698204822898,3.88264352304124,0.000103326991720087
"7","principal_city_balance_status(3) Nonmetropolitan",0.326647689100548,0.262756706665551,1.24315642879601,0.21381019513319
"8","principal_city_balance_status(4) Not identified",0.166344134109484,0.173838985631551,0.956886244504713,0.338624674849657
"9","metropolitan_area_size100,000-1,000,000",0.0728011172998942,0.209111848726494,0.348144391354474,0.727731747631488
"10","metropolitan_area_size1,000,000-4,999,999",-0.26243451125962,0.240725852723363,-1.09018000472597,0.275633859484971
"11","metropolitan_area_size5,000,000+",-0.108454296552208,0.258920564204641,-0.418870926244737,0.675310466115613
"12","age",-0.0264614434666203,0.00325407149218952,-8.13179536163651,4.2297843979432e-16
"13","marital_statusHS or equivalent",-14.7222793092607,838.850884114608,-0.0175505320290624,0.985997420312332
"14","marital_statussome college or associate",-14.9530592417533,838.85090183002,-0.0178256460225912,0.985777945441198
"15","marital_statusBachelor's or more",-15.8890527384937,838.850934977189,-0.0189414496378022,0.984887813434816
"16","sex(2) Female",-0.0320566631702471,0.106221714630342,-0.301790112142383,0.762812069013962
"17","served_armed_forces(2) No",0.284076553715426,0.160548809767221,1.76940927888102,0.0768255982716305
"18","highest_education(32) 1st, 2nd, 3rd or 4th grade",-14.5241399127634,838.851375365222,-0.0173143185304308,0.986185862780491
"19","highest_education(33) 5th or 6th grade",-14.0469558706903,838.851100423397,-0.0167454699214203,0.986639672485833
"20","highest_education(34) 7th or 8th grade",-13.9599172911108,838.851033441573,-0.0166417119781532,0.986722447812238
"21","highest_education(35) 9th grade",-14.3908819492942,838.851018228008,-0.0171554681780008,0.986312588201284
"22","highest_education(36) 10th grade",-14.1429572139436,838.851026204871,-0.0168599152556672,0.986548371210107
"23","highest_education(37) 11th grade",-14.2216658540275,838.850959134254,-0.0169537457150971,0.986473516034323
"24","highest_education(38) 12th grade no diploma",-14.689847581913,838.850984782035,-0.0175118678387556,0.986028265132498
"25","highest_education(39) High school grad-diploma or equiv (GED)",NA,NA,NA,NA
"26","highest_education(40) Some college but no degree",-0.207722562450956,0.20436948507607,-1.016406937531,0.309435643345665
"27","highest_education(41) Associate degree-occupational/vocational",-0.1352671460117,0.278990052798115,-0.484845766560658,0.627785755354775
"28","highest_education(42) Associate degree-academic program",NA,NA,NA,NA
"29","highest_education(43) Bachelor's degree (ex: BA, AB, BS)",0.738995383348481,0.312536561318539,2.36450858814977,0.018054008755694
"30","highest_education(44) Master's degree (ex: MA, MS, MENG, MED, MSW)",0.276606927775125,0.327564403354073,0.844435246757057,0.398426233345632
"31","highest_education(45) Professional school deg (ex: MD, DDS, DVM)",-0.031807800497326,0.471021987133503,-0.0675293327407041,0.946160311166132
"32","highest_education(46) Doctorate degree (ex: PHD, EDD)",NA,NA,NA,NA
"33","raceblack",0.518633920780831,0.187463107126732,2.76659193763504,0.0056645610025282
"34","raceother",0.346133032362119,0.19614098241983,1.76471550255234,0.0776115918121569
"35","hispanic(2) Non-Hipsanic",-0.212471656943071,0.19639835020654,-1.08184033480743,0.279323480549886
"36","citizenshipforeign by birth",-1.03700584823694,0.171557601716674,-6.04465111344672,1.49733657142428e-09
"37","worked_last_weekno",-0.293640028756722,0.153381209751208,-1.91444590398668,0.0555632049608629
"38","worked_last_weekNR",14.5181110300555,1273.36482663722,0.0114013758872198,0.990903215292025
"39","occupationProfessional and related occupations",-0.299234812788918,0.174612952692951,-1.71370341188325,0.0865832099818959
"40","occupationService occupations",-0.159066108934443,0.202984389640613,-0.783637151684775,0.433253049734497
"41","occupationSales and related occupations",-0.345765106847443,0.221234476299946,-1.56288980194326,0.118078516757631
"42","occupationOffice and administrative support occupations",-0.411576349536082,0.207328422889461,-1.98514194918425,0.0471286807471397
"43","occupationOther--more'manual'",0.0874155112581094,0.208813237620354,0.418630122564552,0.675486471509385
"44","occupationNR",0.00432474018965586,0.214919965888981,0.0201225613067976,0.983945602467823
"45","attend_live_music_performance(2) No",-0.192430245975226,0.156944403717029,-1.22610454031975,0.220159337486614
"46","attend_live_music_performanceNR",14.804270497049,2399.5446955431,0.00616961647955398,0.995077389494087
"47","attend_live_musical_2(2) No",0.206292244309812,0.18417336367734,1.12009815203909,0.262671938041987
"48","attend_live_musical_2NR",-17.8813129942231,5508.81076580936,-0.00324594794673364,0.997410112796051
"49","attend_live_non_musical_play(2) No",0.438648377965714,0.208652999224664,2.10228647369409,0.0355281887415414
"50","attend_live_non_musical_playNR",-15.4663793997863,2399.54480463427,-0.00644554724292536,0.994857232978413
"51","go_art_exhibit(2) No",0.21864025328112,0.180072224897748,1.21418088439387,0.224678658404506
"52","go_art_exhibitNR",15.1325128383601,1655.08627552862,0.00914303566049868,0.992705014645266
"53","go_arts_cultural_fair_festival(2) No",-0.00319261070262687,0.157375077782998,-0.0202866346285726,0.983814717615698
"54","go_arts_cultural_fair_festivalNR",15.8371517093616,2399.54524704194,0.00660006379495655,0.994733949229986
"55","go_see_buildings_neighborhoods(2) No",0.168631666155168,0.176937593261894,0.953057307078704,0.340561035731784
"56","go_see_buildings_neighborhoodsNR",-25.8350869996717,3957.87610867881,-0.00652751280996912,0.99479183529379
"57","visited_historic_park_monument_value(2) No",0.300178117675446,0.166103824671631,1.80717161852754,0.0707355246860141
"58","visited_historic_park_monument_valueNR",NA,NA,NA,NA
"59","read_books_2(2) No",0.715742057493244,0.172570681448003,4.14752987870019,3.36081620835611e-05
"60","read_books_2NR",-0.599364592235889,1.78624844129776,-0.335543801398887,0.73721490907668
"61","read_novels_short_stories_2(2) No",0.446051252071077,0.4015633375058,1.11078679353947,0.266660132347636
"62","read_novels_short_stories_2NR",1.21066650852112,1.13740847438013,1.06440784976647,0.287143979289975
"63","read_poetry(2) No",0.926138606036352,0.246540046546382,3.75654429781295,0.000172275788433309
