"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-18.0860486681195,2300.21893367605,-0.00786275097701924,0.993726497031041
"2","person_household_has_business_or_farm(2) No",0.0316134790306339,0.119832397101976,0.263814125354859,0.791923149602395
"3","region(2) Midwest (formerly North Central)",-0.447169760749936,0.117493851839714,-3.80589923428479,0.000141289902115887
"4","region(3) South",-0.652668795971018,0.113250441957349,-5.76305738583183,8.26036929686784e-09
"5","region(4) West",-0.176349889945798,0.11976470049564,-1.47246967775967,0.140894089399699
"6","principal_city_balance_status(2) Balance",-0.27381127488879,0.106097832436599,-2.58074334414336,0.00985878465993535
"7","principal_city_balance_status(3) Nonmetropolitan",-0.511990993063363,0.215080062503657,-2.38046700890584,0.0172907092420788
"8","principal_city_balance_status(4) Not identified",-0.217984332938235,0.145636070876844,-1.49677433362351,0.13445198688567
"9","metropolitan_area_size100,000-1,000,000",0.115876746591979,0.17280196765852,0.670575388475712,0.502491065550938
"10","metropolitan_area_size1,000,000-4,999,999",0.238974644548159,0.197553006774976,1.20967353749449,0.226404187924729
"11","metropolitan_area_size5,000,000+",0.497835506128055,0.214907289286073,2.31651289159095,0.0205302813801024
"12","age",-0.0103904646088909,0.00262084264797053,-3.96455110227119,7.35341933467255e-05
"13","marital_statusHS or equivalent",-13.9011335700102,555.429086597416,-0.0250277378434917,0.980032838935169
"14","marital_statussome college or associate",-13.822927060491,555.429105987998,-0.0248869332043785,0.980145149799812
"15","marital_statusBachelor's or more",-13.4670159996609,555.42915521878,-0.0242461452970655,0.980656270311382
"16","sex(2) Female",-0.263257366378354,0.088798674551047,-2.96465423284012,0.00303023303405448
"17","served_armed_forces(2) No",0.153918962904621,0.139695139956761,1.10182045669063,0.270539735067193
"18","highest_education(32) 1st, 2nd, 3rd or 4th grade",-12.5271377735201,555.429608459847,-0.0225539610829474,0.982006068208917
"19","highest_education(33) 5th or 6th grade",-13.2026242293162,555.429282671265,-0.0237701263531153,0.981035969030672
"20","highest_education(34) 7th or 8th grade",-13.6943746035438,555.429159771188,-0.0246554837149444,0.980329763124389
"21","highest_education(35) 9th grade",-14.3551044775347,555.429163111364,-0.025845067977924,0.979380914792997
"22","highest_education(36) 10th grade",-14.2267703178343,555.429149339137,-0.0256140145593036,0.979565207736108
"23","highest_education(37) 11th grade",-14.0265102098433,555.429122683849,-0.0252534655404219,0.97985279119979
"24","highest_education(38) 12th grade no diploma",-13.5910450673192,555.429183981091,-0.024469447157789,0.980478154050908
"25","highest_education(39) High school grad-diploma or equiv (GED)",NA,NA,NA,NA
"26","highest_education(40) Some college but no degree",-0.166683273242021,0.176877318012384,-0.94236657992717,0.346004991407032
"27","highest_education(41) Associate degree-occupational/vocational",-0.219749908932887,0.241845265117672,-0.908638458668876,0.363540998910435
"28","highest_education(42) Associate degree-academic program",NA,NA,NA,NA
"29","highest_education(43) Bachelor's degree (ex: BA, AB, BS)",-0.119885502158602,0.29473176294357,-0.406761391990028,0.684183245423617
"30","highest_education(44) Master's degree (ex: MA, MS, MENG, MED, MSW)",-0.254006039239589,0.308331681273392,-0.823807784495444,0.410048783728214
"31","highest_education(45) Professional school deg (ex: MD, DDS, DVM)",0.303330487984733,0.447509245073976,0.677819489370751,0.497886152309866
"32","highest_education(46) Doctorate degree (ex: PHD, EDD)",NA,NA,NA,NA
"33","raceblack",1.00978238101848,0.148691736403832,6.79111297937906,1.11271739881295e-11
"34","raceother",0.112173529113718,0.164875885987993,0.680351334833082,0.49628202725056
"35","hispanic(2) Non-Hipsanic",-0.209051040126774,0.154980211114364,-1.34888860083246,0.177372750172287
"36","citizenshipforeign by birth",0.653639614805962,0.161243088307979,4.05375276338973,5.04024850077196e-05
"37","worked_last_weekno",-0.234170719951551,0.13001098582377,-1.80116102087689,0.0716775041298845
"38","worked_last_weekNR",-1.10967015871673,1.39425026522973,-0.79589022601612,0.426095842722882
"39","occupationProfessional and related occupations",0.0333204920051045,0.157110443744778,0.212083240368367,0.832042094550839
"40","occupationService occupations",-0.0288326550948668,0.170755497271415,-0.168853451605352,0.865911913593569
"41","occupationSales and related occupations",0.404098161712096,0.189169025808088,2.13617509518738,0.0326651446185299
"42","occupationOffice and administrative support occupations",-0.0797926256938262,0.181805061996147,-0.438891111269044,0.660740437697906
"43","occupationOther--more'manual'",-0.091324169932451,0.166530542642961,-0.548392916296735,0.583422139356536
"44","occupationNR",0.377477048514586,0.184885873192886,2.04167599176588,0.0411836817783615
"45","attend_live_music_performance(2) No",-0.00328690177266769,0.138313757395943,-0.0237640986301779,0.981040777099568
"46","attend_live_music_performanceNR",16.0345292469658,1455.39756837194,0.011017284620657,0.991209656529036
"47","attend_live_musical_2(2) No",-0.0762688149645362,0.173418345910239,-0.439796692582992,0.660084363321591
"48","attend_live_musical_2NR",46.1033328202703,3391.08845674989,0.0135954379864385,0.989152744094744
"49","attend_live_non_musical_play(2) No",-0.137556180599441,0.198061145730082,-0.694513707332089,0.487360107630014
