"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",51.2879446681147,2861.86186249967,0.0179211810815067,0.98570173166726
"2","person_household_has_business_or_farm(2) No",-0.107299905300463,0.126626846054109,-0.847370906281697,0.396788415660191
"3","region(2) Midwest (formerly North Central)",0.21212955703822,0.122530543899187,1.73123818998757,0.0834092905304513
"4","region(3) South",0.502084918014178,0.1172016615008,4.2839402751193,1.83612220227933e-05
"5","region(4) West",0.066537339255806,0.124842307607021,0.53297107792378,0.594053601213272
"6","principal_city_balance_status(2) Balance",-0.124554278867862,0.110191225070543,-1.13034662050561,0.258330197217955
"7","principal_city_balance_status(3) Nonmetropolitan",-0.132891753352961,0.227596070658193,-0.583893003814377,0.559292300444387
"8","principal_city_balance_status(4) Not identified",-0.245700878651538,0.154309782423835,-1.59225730729555,0.111326901423553
"9","metropolitan_area_size100,000-1,000,000",-0.185865008504147,0.183652213437053,-1.01204883418328,0.311514704697154
"10","metropolitan_area_size1,000,000-4,999,999",-0.195998098504549,0.209172310952038,-0.937017416944304,0.348749598910615
"11","metropolitan_area_size5,000,000+",-0.0346643836635691,0.224623576328334,-0.154322107368195,0.877355766954059
"12","age",-0.000487923670705107,0.00273402639736626,-0.178463408829971,0.858359055386588
"13","marital_statusHS or equivalent",-13.7609156443222,575.429729841556,-0.0239141548145441,0.980921083602899
"14","marital_statussome college or associate",-14.0528059162191,575.429749856143,-0.0244214101195364,0.980516470611776
"15","marital_statusBachelor's or more",-13.7345251606511,575.42981014938,-0.0238682892655242,0.980957668573664
"16","sex(2) Female",0.258126361739852,0.0932626123621485,2.76773677256134,0.00564470263486075
"17","served_armed_forces(2) No",-0.309303913169916,0.147675541799175,-2.09448300918063,0.0362169750689485
"18","highest_education(32) 1st, 2nd, 3rd or 4th grade",-12.026160617604,575.430819423015,-0.0208994030414684,0.983325902824772
"19","highest_education(33) 5th or 6th grade",-13.7897970903413,575.429892357384,-0.0239643391375588,0.980881053778315
"20","highest_education(34) 7th or 8th grade",-13.0892468228496,575.429839642849,-0.0227469031341399,0.98185216221057
"21","highest_education(35) 9th grade",-12.9369752019851,575.429848110638,-0.0224822804108308,0.982063246612051
"22","highest_education(36) 10th grade",-13.8405650232771,575.429800815765,-0.0240525690599546,0.980810676771241
"23","highest_education(37) 11th grade",-13.8238168703899,575.429765626389,-0.0240234650623988,0.980833891693483
"24","highest_education(38) 12th grade no diploma",-13.740872020385,575.429824904336,-0.0238793184254386,0.980948871084709
"25","highest_education(39) High school grad-diploma or equiv (GED)",NA,NA,NA,NA
"26","highest_education(40) Some college but no degree",0.234772516991214,0.186126113124685,1.26136259469375,0.207178238533056
"27","highest_education(41) Associate degree-occupational/vocational",-0.271764821812836,0.253910421050223,-1.07031771555009,0.284476322937786
"28","highest_education(42) Associate degree-academic program",NA,NA,NA,NA
"29","highest_education(43) Bachelor's degree (ex: BA, AB, BS)",-0.0144614168944633,0.324862340472495,-0.0445155227085725,0.964493478910188
"30","highest_education(44) Master's degree (ex: MA, MS, MENG, MED, MSW)",0.160235836724605,0.340759359666589,0.470231652276213,0.638189522456606
"31","highest_education(45) Professional school deg (ex: MD, DDS, DVM)",0.193407967133981,0.48329687309422,0.400184602676449,0.689020554492874
"32","highest_education(46) Doctorate degree (ex: PHD, EDD)",NA,NA,NA,NA
"33","raceblack",0.423812736157751,0.145808028084545,2.90664884317623,0.00365323050373862
"34","raceother",0.205776524642005,0.166161261175698,1.23841455695512,0.215562385763909
"35","hispanic(2) Non-Hipsanic",-0.189018891226442,0.157031430210097,-1.20370101051457,0.228705161562632
"36","citizenshipforeign by birth",0.953085992755094,0.158209960980871,6.0241844877917,1.69964409650551e-09
"37","worked_last_weekno",-0.0575010178330692,0.137134075443881,-0.419305104489514,0.67499316652429
"38","worked_last_weekNR",-1.28151249348829,1.39342658611558,-0.919684256248284,0.357737782227189
"39","occupationProfessional and related occupations",0.20900072665502,0.170732452943392,1.22414176714439,0.220898752236283
"40","occupationService occupations",0.26287579821757,0.182324366595446,1.44180288749258,0.14935798808261
"41","occupationSales and related occupations",0.214691802760234,0.197385017466748,1.08768033924562,0.276736250147435
"42","occupationOffice and administrative support occupations",0.528642252395326,0.192478363797071,2.74650221441342,0.00602344793836383
"43","occupationOther--more'manual'",0.161450232684543,0.176328228593441,0.915623289432561,0.359864511810031
"44","occupationNR",0.619483903738673,0.196198105222411,3.15744080727193,0.00159160546420331
"45","attend_live_music_performance(2) No",-0.0951758471901103,0.143210776023446,-0.664585793282264,0.506315458411919
"46","attend_live_music_performanceNR",-16.0535465001856,1455.39757123697,-0.0110303513056858,0.991199231456261
"47","attend_live_musical_2(2) No",-0.276391806292984,0.18558414835086,-1.48930718894399,0.136406495538398
"48","attend_live_musical_2NR",-11.4286504982663,3435.70754696853,-0.00332643286485494,0.997345895469266
"49","attend_live_non_musical_play(2) No",0.0411566598532608,0.218239489955257,0.188584842558506,0.850418213530115
"50","attend_live_non_musical_playNR",-12.6101444131752,1455.39761750288,-0.00866439814214569,0.99308689699035
"51","go_art_exhibit(2) No",0.00191771372044523,0.183767342185611,0.0104355523546087,0.991673785014929
"52","go_art_exhibitNR",15.0286583391171,979.761684980402,0.0153390957918687,0.987761652215316
"53","go_arts_cultural_fair_festival(2) No",0.143241442164338,0.152148115037303,0.941460511221052,0.346468916553786
